user_id,recommended_items
33492,1171271 811517 1635931 1150397 1676375 
33552,2552254 2231082 306921 354268 1502840 
33704,1244196 1386412 784737 1443706 536047 
35125,380595 2491016 2078554 2058516 2414830 
35517,1693312 2635038 2049850 1753441 1917327 
35752,1162250 343377 1443706 657183 1386412 
36049,2283530 349988 1831054 995305 710660 
36125,374376 2462072 253152 931519 2778525 
36396,2778525 1244196 1386412 657183 2791339 
36940,2546303 58071 2430982 2671295 2257516 
37187,839008 788342 675243 1829050 795125 
37351,1261177 600648 2672855 958759 2475831 
38059,1600861 2282988 1650533 252232 2818143 
38189,667505 725181 2439867 73218 468120 
38365,2459081 1244196 1953846 445231 1162250 
38481,2735795 1406238 2821618 1676825 324207 
38730,1330328 265522 1244196 2705759 931519 
38944,2398188 340260 2201955 1770875 1951358 
39189,2778525 1244196 1386412 657183 2791339 
39773,265187 1506892 2450133 60875 2423991 
39778,542825 1248991 2015196 1464633 1970820 
40141,1053542 1244196 79531 2310939 2660436 
40180,1563211 1434783 744459 565050 439722 
40246,818187 2069686 2528004 2316511 791503 
40468,161945 938375 569761 1613050 828659 
41309,2778525 1244196 1386412 657183 2791339 
41345,1733308 205359 935545 784737 941986 
41383,302820 2324846 2800708 2384640 620865 
41403,1140869 656507 1386412 2610342 252698 
41629,1338318 2086041 2641274 2148842 1513439 
41649,794156 2024094 460717 2648928 2691131 
42051,918665 140830 473936 2375235 1712690 
42321,2778525 1244196 1386412 657183 2791339 
42617,789804 1025299 1540118 2822479 1604573 
42912,2313955 1391091 1294039 205017 2800967 
43088,194241 151485 1423150 1988360 661923 
43399,1140869 671237 1348563 951466 1306367 
43444,2778525 1244196 1386412 657183 2791339 
44628,612412 2213987 1330328 632512 2431805 
46074,2778525 1244196 1386412 657183 2791339 
46106,1184304 699006 2039426 947593 1221704 
46377,2590469 1901398 81564 1422576 778416 
46391,1254543 886874 52883 940554 1458969 
46874,657183 1092821 536047 784737 2791339 
47353,278162 412368 1749358 2047542 1319362 
47387,478799 1717754 1876970 881841 2384800 
47475,1092821 536047 657183 2791339 2002097 
47662,2241130 2034234 1290818 1626821 2808334 
48463,2778525 1244196 1386412 657183 2791339 
48478,2778525 1053542 823512 680340 1677562 
48675,2314169 1268927 734229 432522 1868109 
48789,1386412 2165626 2051097 190325 2002097 
49239,1726380 2712821 1310205 1216431 1001431 
49334,2280570 1956960 1036813 1054067 2061955 
49418,1386412 1092821 657183 2002097 536047 
49794,1439190 984686 1367732 848317 2199144 
50754,503355 2784346 1950008 2774804 2282641 
50874,1288592 976139 1620706 2131741 364509 
51289,2468976 1870464 1683436 1996291 991452 
51380,1597526 92714 725456 746387 2144224 
51416,775484 1224460 68464 2735894 64081 
51445,640407 2710882 1672383 2157670 2778525 
51851,439558 1421702 1080462 818187 317785 
52067,2058516 2698468 2470216 1601025 2071530 
52207,2183922 1857507 2140236 1218572 2287939 
52730,1244196 266412 1386412 1162250 784737 
52831,1386412 657183 1984327 536047 343377 
53121,2367518 2077469 1359640 743890 2772224 
53574,186124 1982510 788342 1390003 703873 
53638,1936328 770454 2819825 1194598 720941 
53677,436574 2786340 522634 913683 2054067 
53760,624264 2250299 1212042 2396028 2813331 
53874,2093466 882380 2186541 1164968 2159515 
54382,1386412 1244196 2791339 657183 266412 
55261,1419600 1982510 2142899 262552 2784811 
55358,1586072 2417467 158526 2057312 794365 
55450,2747710 740200 161945 938375 569761 
55534,2778525 1244196 1386412 657183 2791339 
56110,1728166 789804 612155 2336701 2182484 
56216,1679143 468120 2420135 2459081 101005 
56227,1830993 161269 931519 2774804 1540118 
56317,1438082 562914 2002097 2791339 1777889 
56439,1472192 1211336 1718887 384116 2832662 
57013,657183 266412 1069281 1386412 1162250 
58197,1092821 1386412 536047 784737 657183 
58250,389610 2248769 967859 2313052 1549837 
58548,2164654 1876143 1338516 1033588 1646403 
58600,278589 47583 79531 1595372 460717 
58624,2778525 1244196 680340 2031981 538069 
58695,854455 269073 1373048 2356407 399341 
58784,2778525 1244196 1386412 657183 2791339 
58798,2778525 1244196 1386412 657183 2791339 
58833,1695664 687732 606905 595045 1386412 
59104,1834588 364185 2084369 74389 2298488 
59135,35677 2738174 988691 1520888 1580300 
59546,1836572 1130719 1717306 2594464 2372252 
59782,1724745 449441 2601330 319083 2492753 
59842,1386412 2791339 657183 1162250 536047 
60155,2754416 944507 1474679 1812210 1502246 
60471,1928254 1398047 103079 2368632 2593290 
60496,2778525 1244196 1386412 657183 2791339 
61016,1053542 1244196 823512 79531 2310939 
61298,2778525 2096295 2147708 2574873 902772 
61873,1796771 2080276 1731263 2854 2329750 
62808,128817 1640855 514499 2635463 1563169 
62908,1244196 1162250 1443706 2489959 2466095 
62914,2778525 1244196 1386412 657183 2791339 
63061,1794685 1301316 1456599 335428 590953 
63163,229279 1347460 253188 459719 300430 
63322,590897 1376935 259164 426324 1372937 
63597,551111 1662460 1835742 1879708 1048520 
63753,2215849 2687682 2183922 1626201 1857507 
63872,2562177 640407 1113051 597952 2057927 
64303,657183 1386412 784737 343377 1984327 
64930,1563497 678328 614476 824591 465196 
65592,723096 460717 1386412 967007 665194 
66592,863165 28310 2575641 795787 673547 
66908,1623663 1169446 240846 44317 972918 
67173,1173526 701000 2494962 1846980 410738 
67354,2501141 2778662 721214 1466164 868249 
67659,1244196 2466095 569889 549843 1443706 
67705,457843 2770160 1277973 1820087 415358 
67752,2778525 1244196 1386412 657183 2791339 
67939,349653 275226 65979 274172 2229101 
69088,2778525 1244196 1386412 657183 2791339 
69418,1140869 1244196 1092821 536047 2041656 
69428,502139 207322 1928254 723096 665194 
69757,1939406 1900952 2484384 183374 209611 
70134,1386412 657183 1244196 784737 2002097 
70534,1212629 1592663 1814370 1455276 323086 
70547,1794685 1278190 1306420 1755502 1725014 
70649,657183 1443706 1053542 1386412 1069281 
70855,1807932 1400164 1889002 2389610 2506938 
71226,2791339 1140869 1092821 536047 2170079 
72027,2353541 1025299 2127850 612155 536047 
72461,2348573 457843 415358 1277973 512713 
72570,18872 668146 637137 955230 1443014 
73454,2127465 1177446 478799 2650926 2453690 
73471,2034234 1626821 2738695 447657 2808334 
73525,1947468 918665 1234054 2325283 2785201 
74032,2778525 1244196 1386412 657183 2791339 
74663,1413621 1788462 4872 839657 1402854 
75611,1907046 291669 1835742 1244196 882543 
76103,1780684 2011456 1391673 420494 491158 
76608,662225 1342499 1532789 2017819 273517 
76720,657183 1386412 1619659 536047 1290875 
77440,293354 1245440 1774990 1160495 635882 
77641,1244196 784737 657183 1069281 1443706 
77738,2650926 2744261 2431753 1301316 317172 
77942,2778525 1244196 1386412 657183 2791339 
77992,2413494 3890 161269 1716010 1789743 
78016,12250 1860448 876945 1352001 2788208 
78100,1465161 1490958 2658124 650449 2348692 
78298,2778525 1244196 1386412 657183 2791339 
78784,770613 265522 538895 2588441 714105 
79349,2068248 1147467 2296112 2820128 549843 
79426,2476293 2524643 1059979 1489431 1626201 
79738,479552 2535756 714993 166946 1915524 
79802,72465 1244196 2459081 1386412 1292626 
80026,1386412 657183 1092821 1244196 2002097 
80113,2778525 1244196 1386412 657183 2791339 
80743,657183 1443706 266412 1069281 2778525 
80933,1883 2630733 510903 197449 1728212 
81213,278589 501333 72465 1140869 1244196 
81342,1310213 2549564 1145435 1452805 1706955 
81375,2778525 1244196 1386412 657183 2791339 
82204,1907046 1752047 2086041 291669 1726537 
82500,477856 2299750 1886777 74727 1620422 
82645,186124 499178 1776696 925751 2088166 
82778,2778525 1053542 257339 538069 1941772 
82848,2778525 1244196 1386412 657183 2791339 
82953,1244196 266412 657183 1162250 1679143 
83200,2348573 2251758 2446758 1277973 1776696 
83840,1092821 2593483 1386412 1119495 2002097 
84028,2002097 536047 278589 2574220 1386412 
84579,1714427 41907 1568572 1142475 669712 
84814,2778525 1244196 1386412 657183 2791339 
84989,876529 1844001 816307 2031674 1376234 
85006,168502 1562403 315341 932913 282920 
85011,2183022 569351 2405262 1051839 1084945 
85432,2372389 2136354 913976 2152621 309305 
85921,1244196 1047625 1174707 194318 445231 
85958,2778525 1244196 1386412 657183 2791339 
85991,1550643 117372 1090310 1171271 536710 
86194,979877 1876513 1492066 81551 1492358 
86285,1244196 2459081 468120 1679143 1953846 
86316,2014155 2482754 1254986 904238 1992744 
86856,1292698 1720782 2304303 1901910 1576725 
87127,2778525 1244196 1386412 657183 2791339 
87569,186124 499178 1776696 1175568 2198238 
87622,1140869 1244196 460717 2024094 2778525 
87629,472040 723096 460717 1386412 1140869 
88090,2677082 1534662 162361 2108967 2038642 
88699,2405262 2088166 2093466 1056667 981752 
89595,2778525 1244196 1386412 657183 2791339 
89700,300053 535530 2521990 92053 1672383 
90134,986175 2549022 1442975 2171176 2768923 
90275,278589 1140869 1244196 865745 1776330 
90552,1751372 190851 1373134 1288677 2766428 
90609,1244196 1053542 2024094 1386412 657183 
90615,1244196 657183 784737 266412 1162250 
90733,1492887 1857507 562726 1059979 98202 
91295,2546303 1702063 1061263 2117370 1426750 
92019,1056667 770613 538895 2111288 2672526 
92182,2778525 1244196 1386412 657183 2791339 
92343,2650926 317172 1652258 1244196 1079784 
93312,2778525 1244196 1386412 657183 2791339 
93887,1695664 1597526 1497556 1615674 697552 
93930,1496888 2763004 1549837 2506938 224414 
94336,2054897 10303 1772350 2255147 2284624 
94417,1386412 2002097 2791339 536047 784737 
94548,2778525 1244196 1386412 657183 2791339 
94665,533554 2716169 2699781 1644114 1072125 
94805,657183 1443706 1386412 784737 2778525 
94918,1434291 2627239 230632 2501297 2420485 
94945,1817563 453098 860488 618737 636127 
95321,1244196 2466095 2489959 1386412 410414 
95619,2778525 1244196 1386412 657183 2791339 
96109,1386412 657183 2002097 784737 536047 
96164,12250 1860448 2013026 2760857 1398399 
96187,1244196 657183 1386412 1443706 784737 
96756,2778525 1244196 1386412 657183 2791339 
97135,2157347 429123 2756654 969821 1876513 
97204,1829851 1620706 2715741 2127719 808239 
97375,291669 1907046 244777 2489725 986950 
98005,1435584 367427 1967674 1058822 2552860 
98174,2778525 1244196 1386412 657183 2791339 
98287,243570 266412 1244196 1140869 2506235 
98458,1432568 160177 657183 1386412 1797481 
98716,2348573 122140 964435 2200859 790718 
99109,2730942 1526450 16224 79531 233796 
99155,332313 2512859 1634357 2773641 2691125 
99208,1636910 1165605 1765833 830372 2719617 
99598,2778525 1244196 1386412 657183 2791339 
99751,1611974 1921445 2085209 1287323 1242418 
99972,1538496 622845 870075 1386412 931519 
100399,1240730 1761908 150663 2460032 788485 
100521,1728143 36302 1936328 293906 1663945 
100803,1244196 1443706 1776330 75845 484624 
101222,2635038 1244196 1386412 535530 300053 
101236,1794685 987014 810121 2414494 81551 
101276,1142139 321612 2537726 1530750 2563065 
101454,2120393 428736 2758462 948804 1916566 
101666,1244196 1443706 657183 2031981 343377 
101774,1386412 2791339 2594464 2397044 2029365 
101857,2778525 1244196 1386412 657183 2791339 
102002,2778525 1244196 1386412 657183 2791339 
102545,670541 605112 2335481 2572296 1362357 
102885,2271101 447985 1849877 1426534 272736 
103027,2127017 1935754 1224460 1825202 2074572 
103310,1959710 1176841 296825 1913668 2177985 
103669,288342 2204165 657183 1386412 1019461 
104001,657183 1443706 266412 1069281 784737 
104796,39704 576002 2201955 1770875 1446206 
104965,2470649 1629741 295970 654639 527751 
106202,2778525 1244196 1386412 657183 2791339 
106391,1288592 2715741 976139 562493 681998 
107447,1878823 2268069 343377 2353095 2544301 
107528,2570454 2317069 2436303 2171316 1583803 
107952,2778525 1244196 1386412 657183 2791339 
108109,2778525 1244196 2791339 1092821 536047 
108891,300450 525265 1847967 695110 1648491 
108961,2778525 1244196 1386412 657183 2791339 
109308,1830993 1386412 1859722 1822798 233862 
109548,1502840 657183 266412 638712 2651516 
109646,1244196 2546303 1835742 2705759 882543 
109809,1625624 940874 1637441 1867512 2427146 
110004,2080276 2271101 2631317 1975675 408209 
110221,2778525 1244196 1386412 657183 2791339 
110636,2409457 2142637 959862 1139663 4285 
110951,1027027 1175964 1081513 1408219 555520 
111479,1629741 654639 390926 118466 2740816 
111602,213839 1648491 579230 2042983 2450694 
111836,1936233 563202 2218886 1092821 1854295 
113405,2778525 287676 1680783 823512 670541 
113510,657183 1386412 1096406 784737 1162250 
113784,578684 12160 2319886 1673061 1957948 
113942,1568168 1339242 445302 2548962 2138125 
114764,546243 69520 2157347 2415611 429608 
115337,1244196 823512 2660436 680340 79531 
115389,2778525 1244196 1386412 657183 2791339 
115642,2532 2342664 2778201 2070116 920465 
115791,1244196 266412 2031981 2466095 1386412 
116228,2142180 2600300 2141505 1254141 2321778 
116670,2825827 953215 1651430 2087711 1923264 
116847,1053542 2778525 1244196 823512 1477734 
116871,412368 2778525 1244196 336977 999411 
117095,2459081 1679143 468120 1244196 1809836 
117355,1244196 784737 657183 1386412 1835742 
117952,657183 2791339 1162250 2106311 784737 
118118,931519 2820720 1830993 1604573 612155 
118326,796430 1000266 329308 1262099 2578397 
118441,184482 2547974 2210530 1311146 1915573 
118743,1783191 1774071 1746915 1143366 657183 
119429,2791278 386410 61304 801479 1402854 
119526,2778525 1244196 1386412 657183 2791339 
119952,1244196 2420135 1047625 1953846 657183 
120436,1386412 1244196 657183 2002097 2791339 
120617,154639 784737 285686 2664566 1362646 
121169,2155612 141176 1449030 1527219 1762475 
121312,1413621 4872 85048 632512 1759130 
121482,907363 1679601 1728847 1808280 2501356 
121594,1576126 746757 1247117 1641047 1953846 
121611,657183 536047 1244196 1386412 1053542 
121662,1244196 291669 657183 332354 784737 
121757,470079 830073 1295570 260770 2760713 
122086,2778525 1244196 1386412 657183 2791339 
122087,1244196 1162250 784737 343377 1386412 
122260,509306 1700653 345430 2701471 342352 
122394,2778525 1244196 1386412 657183 2791339 
122653,2778525 1244196 1386412 657183 2791339 
122688,2778525 1244196 1386412 657183 2791339 
122826,639371 1206594 1838961 416609 1431191 
122862,987162 948208 2077189 656507 923245 
123738,1985056 622249 1883195 2543271 761569 
123936,1040073 257339 479851 695332 1437184 
124188,2778525 823512 1053542 1526450 1640028 
124399,1386412 2031953 2524755 1571417 1785216 
124663,1194453 720941 1057206 66474 268652 
124833,2778525 1244196 1386412 657183 2791339 
125035,364185 2084369 1355739 2584256 1843536 
125163,830073 675129 1159981 536047 401833 
125183,2258594 2275702 1982016 1514815 2464741 
125749,807419 147992 336136 246007 189845 
125921,1510306 956277 2004205 2373828 989122 
126548,1845355 2040236 1211072 2533908 596793 
126643,161269 2413494 614356 623539 390015 
126771,1242418 535530 1060527 1317915 1751597 
127238,2778525 1244196 1386412 657183 2791339 
127260,2295019 2254905 2119751 2552842 2191534 
127289,2031981 1244196 569889 657183 410414 
127607,2716169 1164968 2118847 2326745 499178 
128258,35677 173221 1224460 2262097 968024 
128444,2636095 1876513 1717731 1837308 2168278 
128892,1685958 976843 199220 102963 2143121 
129287,2625619 712901 2625273 164623 77356 
129582,2665644 2615257 2277811 2356023 1610934 
129765,1733080 2640781 2738512 1414197 309073 
130419,1461722 1733639 1297827 1605560 996526 
131287,1679143 2796479 468120 2459081 668146 
131400,931519 657183 1386412 2234790 2791339 
131843,1244196 657183 784737 1092821 1162250 
131876,1244196 2778525 784737 657183 1053542 
132162,290298 1830993 899086 1007900 930591 
132303,460717 723096 1386412 794156 1140869 
132458,657183 536047 1386412 1162250 343377 
133042,1140869 2230624 664240 990808 1671781 
133480,813510 134383 2021497 1092256 287897 
134993,2778525 1244196 1386412 657183 2791339 
135249,2117356 1999613 1806276 270673 503733 
135647,2715811 2543583 2127112 2699888 1663821 
135701,317172 2451241 2148169 623539 2750191 
135905,1244196 657183 1092821 2791339 536047 
136018,713309 664949 1857292 1217373 2397283 
136346,1193409 707286 1262099 383573 2337466 
136526,458675 2205297 816048 48524 1955141 
136595,1386412 77575 624264 1620422 2771199 
136741,1519807 574981 1635132 623544 669669 
136883,2031981 2466095 1244196 1181698 410414 
137168,2819992 1411259 2007840 2301756 2276077 
137251,1575865 1177446 1391091 2324766 1974596 
137295,1006232 2182484 1001431 2778162 566036 
137522,243570 2024094 1244196 1443706 657183 
137940,2617657 1295792 2381373 1721435 2729779 
138017,499178 915203 2701725 258503 1745066 
138722,1244196 657183 1386412 266412 1619659 
138977,472894 1725532 2640802 1386412 228825 
138982,1244196 266412 1619659 657183 2625619 
139306,2750191 1424217 1317915 2198238 568191 
139725,715272 2778525 695332 823512 1053542 
139968,1265391 1812149 2040236 1464889 2136354 
140225,2784642 2300595 2405911 1302933 1021972 
140830,712901 557005 1407200 2251758 209611 
141431,2778525 1244196 1386412 657183 2791339 
141434,2778525 2424693 1774879 1038209 853857 
141654,2672208 1241389 1228633 2383380 1058590 
141923,300053 535530 2822479 1775397 2277810 
142537,2778525 1244196 1386412 657183 2791339 
142751,1330328 1287265 2705759 2625619 2083881 
142825,186124 973448 925751 1056667 788342 
142969,1508077 620865 265522 2324846 2778201 
143178,2778525 1244196 1386412 657183 2791339 
143537,257339 2548274 958584 1414147 429886 
144144,2204005 1058425 1750645 1266328 2706575 
144191,133593 227314 1284451 1433930 928461 
144636,2778525 1244196 1386412 657183 2791339 
144643,1053542 1244196 823512 79531 536047 
144750,1587725 624264 963327 590219 1340066 
145381,1309786 862860 599025 536710 1171271 
145533,2117401 731325 2337857 901685 1060527 
145734,1053542 2778525 1244196 2031981 823512 
145853,1208817 1423150 2234790 151485 2049371 
146193,2778525 1244196 1386412 657183 2791339 
146199,1564908 932710 660416 489665 653851 
146286,2778525 1244196 1386412 657183 2791339 
147516,700812 1227036 2546303 1050614 449441 
147664,751897 2701174 2004222 2068692 871847 
148342,1843330 755642 1402854 67066 2724276 
148749,457843 2446758 2348573 1277973 591811 
148981,2047542 1355739 1508399 1891695 1158232 
149198,2778525 1244196 1386412 657183 2791339 
149616,2778525 1244196 1386412 657183 2791339 
150039,1477734 1557537 930736 1606242 2808600 
150057,144549 310141 2002097 1155556 1876513 
150611,1487069 927190 2081775 137428 2181039 
150721,1468635 560311 1513065 2192450 1837325 
150852,759844 2630733 650449 510903 197449 
150854,2462072 2470649 931519 2439247 1297289 
150858,158526 1113937 2353116 794365 102981 
150949,1984327 657183 1162250 2106311 2791339 
150980,412368 1071532 2128544 1303387 1393293 
151024,1006232 1349908 1081513 256095 863312 
151528,799322 2086265 1472716 1937571 2304657 
151666,2778525 1244196 1386412 657183 2791339 
151707,1834588 731126 1557242 2298488 1968773 
152067,2391945 2164559 2353541 2312162 920520 
152831,1953846 2594760 1733080 1304640 938076 
153486,2040540 1834588 512713 735653 2305730 
153970,1244196 1140869 79531 657183 1686458 
154279,1550605 105999 1543175 2511769 2823598 
154525,196631 821234 2580699 2716169 1072125 
154692,1646164 2721344 1913558 2182484 2775898 
155196,2310727 795629 1245833 1673485 2168690 
155704,1114032 2548274 1680783 2097556 2268400 
155734,2778525 1244196 1386412 657183 2791339 
155750,1244196 657183 784737 1443706 1386412 
156207,2627099 35677 2778525 2060964 1768401 
156682,1056667 790148 770613 2271101 2625432 
156731,2357943 1041331 702653 892702 2703883 
156890,360149 937675 1301970 813849 996809 
157018,1834588 2159515 882380 1164968 1880316 
157347,1867675 1876513 979877 2637434 1529488 
157372,657183 1386412 1244196 784737 1162250 
157411,725212 1680835 2755931 1928254 346096 
157436,1660566 2266525 1283077 1628279 901643 
158275,2778525 1244196 1386412 657183 2791339 
158445,2778525 1244196 1386412 657183 2791339 
158466,548067 1550605 1597791 2204165 1271958 
158759,2656338 2132764 1965452 788858 536047 
158786,1385288 261467 243727 2067331 2474739 
158919,2778525 1244196 1386412 657183 2791339 
158944,2778525 1244196 1386412 657183 2791339 
159617,1244196 2770160 2778525 1432568 399435 
159701,806027 1833153 460717 1315443 1096406 
159921,1216431 2415538 1619669 1001431 1506186 
160502,1940000 1566714 1382159 2323055 127085 
160533,2108935 1781081 12498 1627431 958020 
160623,2703463 1991067 1081656 2199658 791520 
161242,1053542 538069 257496 823512 1640028 
161521,1244196 657183 266412 343377 1162250 
161612,2353541 2127850 1697553 2590469 2686239 
161662,2778525 1244196 1386412 657183 2791339 
162063,2778525 1602073 1529678 289197 2399947 
162457,2646953 288342 2264926 2669918 880009 
162510,2336701 612155 554226 2324189 1540118 
162529,278589 501333 72465 1140869 1244196 
162564,2232458 2331715 1262099 1455450 2571800 
162646,1124864 1084672 518163 107246 1265969 
164126,2778525 1244196 1386412 657183 2791339 
164502,2600575 1289358 1639401 562726 468803 
165095,243727 2494962 261467 1173526 1812156 
166047,1919915 2234715 2148510 1765904 1057453 
166280,657183 1386412 1443706 266412 1162250 
166546,1576126 1090310 1887468 667505 1988490 
166998,1522487 1200177 1022144 969775 147908 
167169,2635038 2521990 2666340 1704140 1519543 
167292,1244196 1140869 1053542 1928254 2778525 
167793,1262181 291073 1898953 1982706 2377776 
167910,1244196 657183 784737 1386412 1162250 
168003,2559475 830603 2599041 1151791 1195970 
168241,2778525 823512 326717 1053542 1183354 
168452,1124377 341674 1676825 242449 1616880 
168573,1423661 767284 962944 1749097 2235269 
168880,2778525 1244196 1386412 657183 2791339 
168971,2778525 1244196 1386412 657183 2791339 
169437,278589 1261539 399598 1151791 2596184 
169786,1679143 1244196 2420135 1576126 2459081 
170008,624264 2043929 2213987 2282641 1830993 
170333,1965763 1303387 2128544 2670591 1451951 
170601,1244196 1679143 468120 657183 1047625 
170611,62608 931519 2699055 1121263 166149 
170666,1244196 1636910 1695664 625711 2734883 
171078,2778525 1244196 1386412 657183 2791339 
171152,1752822 288342 1367902 1049796 2389349 
171375,1543175 2435845 2600293 1686060 609124 
171516,1244196 2031981 266412 569889 1443706 
172325,1317915 1619659 1244196 1472716 1432568 
172413,243727 1812156 2494962 1173526 261467 
172636,410070 1805606 2376361 26304 765477 
173125,1244196 468120 1679143 2459081 1443706 
173245,2778525 1244196 1386412 657183 2791339 
173555,33156 1730037 2310379 1427387 771844 
174181,1386412 1410585 808771 2791339 306921 
174608,1756743 1976901 1059319 1973486 2491700 
174882,2778525 1244196 1386412 657183 2791339 
175027,1761908 150663 788485 884049 1332634 
175162,2778525 1244196 1386412 657183 2791339 
175344,2302683 2348027 846052 234084 632560 
175369,2778525 1244196 1386412 657183 2791339 
175546,1928254 933025 1717731 1728166 1945407 
175644,1386412 2002097 657183 1092821 536047 
175696,2470216 109931 1270843 1065006 24756 
176268,2058119 2658124 240873 352966 1083742 
176638,1574295 2201955 964898 461272 1732492 
177089,2778525 1244196 1386412 657183 2791339 
177373,288342 1174707 1181698 2547597 1695664 
178074,1753570 1927152 2323055 2618468 1532420 
